Week,DPR no.,Report Date,Medium,Source ID ,Source title ,Source type,Content provider,No. of Correction,Pub year,Volume ,Issue,Article/Iss,Article title,Type of request,Correction Field,Correction Type,Missing/Error,CAR Supplier
Week-1,171230-000436,30-Dec-17,Journal,314515199,Journal of the Serbian Society for Computational Mechanics,J,Serbian Society of Computational Mechanics,-,2017,11,2,Issue,-,MC,Whole issue missing,Missing content,-,Thomson Digital
Week-1,171230-001029,30-Dec-17,Journal,259427899,International Journal of Pure and Applied Mathematics,J,Academic Press,-,2017,117,21SpecialIssue,Article,Biometric Based Cryptography for Enhanced Security Mechanism,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171230-001125,30-Dec-17,Journal,295802099,International Journal of Applied Engineering Research,J,Research India Publications,-,2017,12,19,Article,Transient Stability Analysis of Power System with Wind Generators,MC,Single Article missing,Missing content,-,SPI
Week-1,171230-001150,30-Dec-17,Journal,263718299,Research Journal of Pharmacy and Technology,J,E-flow PDF Research Journal of Pharmacy and Technology,-,2017,10,10,Issue,-,MC,Whole issue missing,Missing content,-,SPI
Week-1,171230-002161,30-Dec-17,Journal,79001799,Espacios,J,SciELO-Scientific Electronic Library Online,-,2017,38,61,Article,Study on the factors affecting customer purchase activity in retail stores by confirmatory factor analysis,MC,Single Article missing,Missing content,-,Thomson Digital
Week-1,171230-002440,30-Dec-17,Journal,661889540,International Journal of Mechanical Engineering and Technology,J,IAEME Publication,-,2017,8,12,Issue,-,MC,Whole issue missing,Missing content,-,Innodata Isogen Inc
Week-1,171230-000917,30-Dec-17,Journal,629774014,International Journal of Electrical and Computer Engineering,J,Institute of Advanced Engineering and Science,-,2017,7,5,Article,Optimal Reactive Power Scheduling Using Cuckoo Search Algorithm,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171230-002709,30-Dec-17,Journal,295802099,International Journal of Applied Engineering Research,J,Research India Publications,-,2017,12,22,Article,Integration Scheme of Network Coding and Address Bit Vector in Wireless Network to Acquire More Reliability,MC,Single Article missing,Missing content,-,Spi
Week-1,171230-002782,30-Dec-17,Journal,629774014,International Journal of Electrical and Computer Engineering,J,Institute of Advanced Engineering and Science,-,2017,7,6,Article,"The Authority of Government in Clearing Hatefull and Hostilities Electronic Information Based on Tribe, Religion, Race and Intergroup",MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171230-000808,30-Dec-17,Journal,259427899,International Journal of Pure and Applied Mathematics,J,Academic Press,-,2017,117,SpecialIssue21,Article,Performance Measure of Exceptional Frequent Pattern Mining using Optimized Sampling from Large Database,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-001809,31-Dec-17,Journal,77028999,Journal of Industrial Pollution Control,J,Research and Reviews,-,2017,33,-,Issue,-,MC,Whole issue missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-000635,31-Dec-17,Journal,295802099,International Journal of Applied Engineering Research,J,Research India Publications,-,2017,12,22,Article,Overview of Energy Storage Technologies: A Techno-Economic Comparison,MC,Single Article missing,Missing content,-,Spi
Week-1,171231-000809,31-Dec-17,Journal,79639299,Biomedical and Pharmacology Journal,J,Oriental Scientific Publishing Company,-,2017,10,2,Article,Chorioamnionitis and Funisitis Increase the Risk of Preterm Labor and Early Onset Neonatal Sepsis,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-000739,31-Dec-17,Journal,79167999,Oriental Journal of Chemistry,J,Oriental Scientific Publishing Company,-,2017,33,6,Article,Performance Evaluation of Continuous Aeration Process in Wastewater Treatment Contaminated with Heavy Metal of Chrome in Pilot Scale,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-1,171231-000906,31-Dec-17,Journal,263719199,Journal of Global Pharma Technology,J,Journal of Global Pharma Technology,-,2017,9,3,Article,"Vaginal Birth After Cesarean Characteristics with Maternal and Perinatal Out Come in Sanglah Hospital, Bali, 1st January 2015 to 31st December 2016 Period:A Descriptive Study",MC,Single Article missing,Missing content,-,Thomson Digital
