Week,DPR no.,Report Date,Medium,Source ID ,Source title ,Source type,Content provider,No. of Correction,Pub year,Volume ,Issue,Article/Iss,Article title,Correction Field,Correction Type,Sub KPI,Precision/Recall,CAR Supplier
Week-19,180505-004730,5-May-18,Journal,661922422,International Journal of Engineering and Technology(UAE),J,Science Publishing Corporation Inc,-,2018,7,2.7SpecialIssue7,Article,Finding author similarity by clustering probabilistic LSA factors in INDIAN english authors poetry,Single Article missing,Missing content,-,-,Thomson Digital
Week-19,180505-004730,5-May-18,Journal,661922422,International Journal of Engineering and Technology(UAE),J,Science Publishing Corporation Inc,-,2018,7,2.7SpecialIssue7,Article,Probabilistic estimation of software development effort techniques using machine learning,Single Article missing,Missing content,-,-,Thomson Digital
Week-19,180505-004986,5-May-18,Journal,79153699,International Journal of Applied Business and Economic Research,J,Serials Publications,-,2017,15,17,Article,An Analysis on Customer Relationship in Banking Services with Reference to Rural Areas of Virudhachalam District,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-19,180505-003169,5-May-18,Journal,263721399,International Journal of Pharmaceutical Research,J,Advanced Scientific Research,-,2018,10,2,Article,Performance Analysis Of Cantilever Based Bio-Sensor For Pathogen Detection,Single Article missing,Missing content,-,-,Spi
Week-19,180505-003637,5-May-18,Journal,259429499,Journal of Theoretical and Applied Information Technology,J,Little Lion Scientific,-,2017,95,23,Article,MULTI-OBJECTIVE GENETIC ALGORITHMS FOR THE GREEN VEHICLE ROUTING PROBLEM: A COMPARATIVE STUDY,Single Article missing,Missing content,-,-,Spi
Week-19,180505-003012,5-May-18,Journal,661922422,International Journal of Engineering and Technology(UAE),J,Science Publishing Corporation Inc,-,2018,7,2.24SpecialIssue24,Article,IOT Based Wheeled Robotic Arm,Single Article missing,Missing content,-,-,Thomson Digital
Week-19,180505-005480,5-May-18,Journal,273550999,Acta Scientiae Veterinariae,J,Universidade Federal do Rio Grande do Sul,-,2013,41,-,Article,The Eff ects of Diff erent Levels of Dried Citrus sinensis Peel on Broiler Carcass Quality,Single Article missing,Missing content,-,-,Thomson Digital
Week-19,180505-005456,5-May-18,Journal,273550999,Acta Scientiae Veterinariae,J,Universidade Federal do Rio Grande do Sul,-,2013,41,-,Article,Eff ects of Two Levels of Quantitative Feed Restriction for a 7- or 14- Days Period on Broilers Blood Parameters,Single Article missing,Missing content,-,-,Thomson Digital
Week-19,180505-001600,5-May-18,Journal,78679299,ScienceAsia,J,Science Society of Thailand under Royal Patronage,-,2017,43,Supplement1,Article,Conformal mappings of bounded multiply connected regions onto circular and parallel slits regions and their inverses using a GUI,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-19,180505-001600,5-May-18,Journal,78679299,ScienceAsia,J,Science Society of Thailand under Royal Patronage,-,2017,43,Supplement1,Article,Solving a class of Robin problems in simply connected regions via integral equations with a generalized Neumann kernel,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-19,180506-001298,6-May-18,Journal,301980999,Journal of Gambling Issues,J,Centre for Addiction and Mental Health,-,2017,2017,36,Article,The Social Construction of the Pathological Gambler’s Identity and Its Relationship With Social Adaptation: Narratives From Members of Italian Gambling Anonymous and Gam-Anon Family Groups,Single Article missing,Missing content,-,-,Spi
Week-19,180506-001565,6-May-18,Journal,295792899,Jundishapur Journal of Natural Pharmaceutical Products,J,Ahvaz Jundishapur University of Medical Sciences,-,2017,12,3Supplement,Article,"Effects of Fumaria parviflora L on Uremic Pruritus in Hemodialysis Patients: A Randomized, Double-Blind, Placebo-Controlled Trial",Single Article missing,Missing content,-,-,Thomson Digital
Week-19,180506-001304,6-May-18,Journal,79608899,Energies,J,MDPI AG,-,2018,11,3,Article,"Computational Intelligence Approaches for Energy Load Forecasting in Smart Energy Management Grids: State of the Art, Future Challenges, and Research Directions",Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-19,180506-002615,6-May-18,Journal,646879328,Analiza i Egzystencja,J,"Wydawnictwo Naukowe Uniwersytetu Szczecinskiego, University of Szczecin",-,2017,39,-,Issue,-,Whole issue missing,Missing content,-,-,Innodata Isogen Inc
Week-19,180506-002125,6-May-18,Journal,79930199,ClinicoEconomics and Outcomes Research,J,Dove Medical Press Ltd.,-,2018,10,-,Article,Prevalence of antibiotic prescription in southern Italian outpatients: real-world data analysis of socioeconomic and sociodemographic variables at a municipality level,Single Article missing,Missing content,-,-,Spi
Week-19,180506-001178,6-May-18,Journal,78193899,Monthly Notices of the Royal Astronomical Society,J,E-flow Oxford University Press,-,2017,468,1,Article,On the influence of a hybrid thermal–non-thermal distribution in the internal shocks model for blazars,Single Article missing,Missing content,-,-,Thomson Digital
Week-19,180505-005695,5-May-18,Journal,78976599,International Journal of Innovation and Sustainable Development,J,E-flow Inderscience,-,2018,12,3,Issue,-,Whole issue missing,Missing content,-,-,Innodata Isogen Inc
Week-19,180506-001606,6-May-18,Journal,78945199,Bioscience Research,J,ISISnet: Innovative Scientific Information Services Network,-,2018,15,1,Article,Potential role of cinnamon in the prevention and management of diabetic vascular complications in humans,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-19,180506-003380,6-May-18,Journal,79608899,Energies,J,MDPI AG,-,2018,11,3,Article,An Input-to-State Stability-Based Load Restoration Approach for Isolated Power Systems,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-19,180506-003511,6-May-18,Journal,273004599,BMJ Open,J,E-flow BMJ Publishing Group,-,2018,8,1,Article,Barriers and facilitators to medication adherence: a qualitative study with general practitioners,Single Article missing,Missing content,-,-,Innodata Isogen Inc
Week-19,180506-003609,6-May-18,Journal,77017099,Journal of the American Medical Informatics Association,J,E-flow Oxford University Press,-,2018,25,5,Article,A dashboard-based system for supporting diabetes care,Single Article missing,Missing content,-,-,Thomson Digital
Week-19,180507-001627,7-May-18,Journal,661922422,International Journal of Engineering and Technology(UAE),J,Science Publishing Corporation Inc,-,2018,7,2.4SpecialIssue4,Article,Covert Channels Detection with Supported Vector Machine and Hyperbolic Hopfield Neural Network,Single Article missing,Missing content,-,-,Thomson Digital
