Week,DPR no.,Report Date,Medium,Source ID ,Source title ,Source type,Content provider,No. of Correction,Pub year,Volume ,Issue,Article/Iss,Article title,Type of request,Correction Field,Correction Type,Missing/Error,CAR Supplier
Week-3,180113-001909,13-Jan-18,Journal,76407599,Indian Journal of Pharmaceutical Sciences,J,OMICS International,-,2017,79,5,Article,Quantification of Valerenic Acid in Ferula sumbul Roots Using UPLC,MC,single Article missing,Missing content,-,Innodata Isogen Inc
Week-3,180113-002532,13-Jan-18,Journal,649981426,Retos,J,Federacion Espanola de Docentes de Educacion Fisica,-,2017,2017,31,Article,Correlates of physical activity in young people: A narrative review of reviews. Implications for physical education based on a socio-ecological approach,MC,single Article missing,Missing content,-,Innodata Isogen Inc
Week-3,180113-001212,13-Jan-18,Journal,79629799,Academy of Strategic Management Journal,J,Allied Academies,-,2017,16,3,Article,THE GLASS CEILING: CAREER BARRIERS FOR FEMALE EMPLOYEES IN THE READY MADE GARMENTS (RMG) INDUSTRY OF BANGLADESH,MC,single Article missing,Missing content,-,Thomson Digital
Week-3,180113-001677,13-Jan-18,Journal,79626299,Annals of Tropical Medicine and Public Health,J,E-Flow Medknow Publications,-,2017,10,6,Article,Cutaneous leishmaniasis situation at present and the way of ahead,MC,single Article missing,Missing content,-,Innodata Isogen Inc
Week-3,180113-001679,13-Jan-18,Journal,263723999,SOCAR Proceedings,J,Oil Gas Scientific Research Project Institute,-,2017,2017,4,Article,Distinguishing of the Sediments with Different Genesis by Results of Core Microtomography,MC,single Article missing,Missing content,-,Innodata Isogen Inc
Week-3,180113-002888,13-Jan-18,Journal,78314399,Limnetica,J,E-flow PDF Asociacion Iberica de Limnologia,-,2017,36,1,Article,Local and regional drivers of headwater streams metabolism: insights from the first AIL collaborative project,MC,single Article missing,Missing content,-,Innodata Isogen Inc
Week-3,180113-002810,13-Jan-18,Journal,634575236,International Journal of Modern Manufacturing Technologies,J,ModTech Publishing House,-,2017,9,1,Issue,-,MC,Whole issue missing,Missing content,-,Spi
Week-3,180113-002712,13-Jan-18,Journal,79059699,Iranian Journal of Pediatrics,J,Tehran University of Medical Sciences (TUMS)aniek,-,2017,27,6,Article,Renal Complications of Sickle Cell Syndrome in Southern Iran,MC,single Article missing,Missing content,-,Spi
Week-3,180113-003085,13-Jan-18,Journal,79800499,Journal of Agricultural Science and Technology,J,Tarbiat Modares University,-,2018,20,1,Issue,-,MC,Whole issue missing,Missing content,-,Spi
Week-3,180113-003068,13-Jan-18,Journal,76947999,Ecological Research,J,E-Flow Springer,-,2000,15,4,Article,Improved growth and water use efficiency of cherry saplings under reduced light intensity,MC,single Article missing,Missing content,-,Spi
Week-3,180113-004239,13-Jan-18,Journal,259427899,International Journal of Pure and Applied Mathematics,J,Academic Press,-,2016,109,-,Article,PERFECT MATCHING AND SLOPE NUMBER RELATED TO HONEYCOMB NETWORK,MC,single Article missing,Missing content,-,Innodata Isogen Inc
Week-3,180113-004492,13-Jan-18,Journal,259427899,International Journal of Pure and Applied Mathematics,J,Academic Press,-,2017,97,18,Issue,-,MC,Whole issue missing,Missing content,-,Innodata Isogen Inc
Week-3,180113-004607,13-Jan-18,Journal,638533015,Ethnobiology and Conservation,J,Universidade Federal Rural de Pernambuco,-,2018,7,-,Issue,-,MC,Whole issue missing,Missing content,-,Thomson Digital
Week-3,180114-000695,14-Jan-18,Journal,78892899,Ostomy Wound Management,J,E-flow HMP Communications,-,2018,64,1,Issue,-,MC,Whole issue missing,Missing content,-,Innodata Isogen Inc
Week-3,180114-003642,14-Jan-18,Journal,344124099,Journal of Function Spaces,J,E-Flow Hindawi Publishing,-,2017,2017,-,Article,ON SPECTRAL CHARACTERIZATION OF NONUNIFORM HYPERBOLICITY,MC,single Article missing,Missing content,-,Innodata Isogen Inc
Week-3,180115-001310,15-Jan-18,Journal,77124499,Canadian Mineralogist,J,Mineralogical Association of Canada,-,1992,30,1,Issue,-,MC,Whole issue missing,Missing content,-,Innodata Isogen Inc
Week-3,180115-002865,15-Jan-18,Journal,259427899,International Journal of Pure and Applied Mathematics,J,Academic Press,-,2018,118,5,Issue,-,MC,Whole issue missing,Missing content,-,Innodata Isogen Inc
Week-3,180115-003073,15-Jan-18,Journal,79214299,Baltic Journal of Economics,J,Baltic International Centre for Economic Policy Studies,-,2016,16,2,Article,The labour market performance of young return migrants after the crisis in CEE countries: the case of Estonia,MC,single Article missing,Missing content,-,Innodata Isogen Inc
Week-3,180114-004150,14-Jan-18,Journal,297611799,Cosmos and History,J,Cosmos Publishing Cooperative,-,2018,14,1,Issue,-,MC,Whole issue missing,Missing content,-,Innodata Isogen Inc
Week-3,180115-002717,15-Jan-18,Journal,79639299,Biomedical and Pharmacology Journal,J,Oriental Scientific Publishing Company,-,2017,10,2,Article,Diagnosis of Cattle Brucellosis by PCR and Serological Methods: Comparison of Diagnostic Tests,MC,single Article missing,Missing content,-,Innodata Isogen Inc
Week-3,180115-001538,15-Jan-18,Journal,642422747,Journal of Geophysical Research,J,E-flow Wiley Blackwell,-,1979,84,-,Issue,-,MC,Whole issue missing,Missing content,-,Spi
Week-3,180115-006815,15-Jan-18,Journal,354058999,Nova Biotechnologica et Chimica,J,E-flow Walter de Gruyter,-,2017,16,2,Issue,-,MC,Whole issue missing,Missing content,-,Innodata Isogen Inc
Week-3,180115-006053,15-Jan-18,Journal,78054299,Journal of Applied Animal Research,J,E-flow Taylor and Francis,-,2018,46,1,Article,Preliminary association analysis of microsatellites and Mycobacterium avium subspecies paratuberculosis infection in the native Garfagnina goats,MC,single Article missing,Missing content,-,Spi
Week-3,180115-006067,15-Jan-18,Journal,77466999,Mathematical Methods in the Applied Sciences,J,E-flow Wiley Blackwell,-,2017,40,18,Article,Uniform regularity and vanishing viscosity limit for the chemotaxis-Navier-Stokes system in a 3D bounded domain,MC,single Article missing,Missing content,-,Spi
Week-3,180115-004396,15-Jan-18,Journal,76799399,Mass Spectrometry Reviews,J,E-flow Wiley Blackwell,-,2017,36,3,Article,RECENT DEVELOPMENTS IN ATMOSPHERIC PRESSURE PHOTOIONIZATION-MASS SPECTROMETRY,MC,single Article missing,Missing content,-,Spi
Week-3,180115-005106,15-Jan-18,Journal,77842999,"Asian Journal of Microbiology, Biotechnology and Environmental Sciences",J,Global Science Publications,-,2017,19,3,Article,MODELLING OF LACTATION,MC,single Article missing,Missing content,-,Innodata Isogen Inc
Week-3,180115-007806,15-Jan-18,Journal,78030199,Astrophysical Journal,J,Web Portal IOP,-,2018,852,2,Article,An Interacting Galaxy Pair at the Origin of a Light Echo,MC,single Article missing,Missing content,-,Innodata Isogen Inc
Week-3,180115-009198,15-Jan-18,Journal,641122714,Communications in Applied and Industrial Mathematics,J,E-flow Walter de Gruyter,-,2017,8,1,Article,Computational modeling of the electromechanical response of a ventricular fiber affected by eccentric hypertrophy,MC,single Article missing,Missing content,-,Innodata Isogen Inc
Week-3,180115-008161,15-Jan-18,Journal,78669399,Boundary Value Problems,J,E-Flow Springer,-,2018,2018,1,Article,Analysis and explicit solvability of degenerate tensorial problems,MC,single Article missing,Missing content,-,Spi
Week-3,180115-007379,15-Jan-18,Journal,295802099,International Journal of Applied Engineering Research,J,Research India Publications,-,2017,12,22,Article,Distribution of an Axial Load along the Teeth Rows of Rolling Cutters of Drill Bits (Test Results),MC,single Article missing,Missing content,-,Spi
Week-3,180115-007379,15-Jan-18,Journal,295802099,International Journal of Applied Engineering Research,J,Research India Publications,-,2017,12,22,Article,"Methodology of Experimental Measurement of Loads, Acting on Rock Cut-ting Elements of Drilling Bit",MC,single Article missing,Missing content,-,Spi
Week-3,180115-007244,15-Jan-18,Journal,638465107,"International Journal of Nutrition, Pharmacology, Neurological Diseases",J,E-Flow Medknow Publications,-,2018,8,1,Issue,-,MC,Whole issue missing,Missing content,-,Innodata Isogen Inc
Week-3,180115-008255,15-Jan-18,Journal,76830699,Mediators of Inflammation,J,E-Flow Hindawi Publishing,-,2017,2017,-,Article,Mouse Thyroid Gland Changes in Aging: Implication of Galectin-3 and Sphingomyelinase,MC,single Article missing,Missing content,-,Innodata Isogen Inc
Week-3,180115-003883,15-Jan-18,Journal,77111399,Geophysical Journal International,J,E-flow Oxford University Press,-,2017,209,3,Article,Surface wave imaging of the weakly extended Malawi Rift from ambient-noise and teleseismic Rayleigh waves from onshore and lake-bottom seismometers,MC,single Article missing,Missing content,-,Thomson Digital
Week-3,180115-010585,15-Jan-18,Journal,76601699,European Review for Medical and Pharmacological Sciences,J,Verduci Editore s.r.l,-,2017,21,24,Article,"Absorption, metabolism and protective role of fruits and vegetables polyphenols against gastric cancer",MC,single Article missing,Missing content,-,Innodata Isogen Inc
Week-3,180115-012642,15-Jan-18,Journal,259429499,Journal of Theoretical and Applied Information Technology,J,Little Lion Scientific,-,2018,96,1,Issue,-,MC,Whole issue missing,Missing content,-,Spi
Week-3,180115-010060,15-Jan-18,Journal,329990899,International Journal of Renewable Energy Research,J,International Journal of Renewable Energy Research,-,2017,7,4,Article,Evaluation of two ANN Approaches for the Wind Power Forecast in a Mountainous Site,MC,single Article missing,Missing content,-,Thomson Digital
Week-3,180115-009899,15-Jan-18,Journal,79608899,Energies,J,MDPI AG,-,2017,10,10,Article,Design of a Fractional Order Frequency PID Controller for an Islanded Microgrid: A Multi-Objective Extremal Optimization Method,MC,single Article missing,Missing content,-,Innodata Isogen Inc
Week-3,180115-010814,15-Jan-18,Book series,343630799,"Intelligent Systems, Control and Automation: Science and Engineering",K,E-Flow Springer,-,2018,92,-,Issue,-,MC,Whole issue missing,Missing content,-,Spi
Week-3,180115-010613,15-Jan-18,Journal,338356399,Light: Science and Applications,J,E-flow Nature Publishing Group,-,2017,6,9,Article,Endowing a plain fluidic chip with micro-optics: a holographic microscope slide,MC,single Article missing,Missing content,-,Innodata Isogen Inc
